着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,メイヂヒカリ,牡5,,蛯名　武五朗,02:43.2,レコード,,,藤本　冨良,1
2,1,1,キタノオー,牡4,,勝尾竹男,02:43.8,3 1/2,,,久保田金造,3
3,4,8,ミッドファーム,牡6,,八木澤勝美,02:44.0,2    ,,,尾形藤吉,7
4,5,9,ヒデホマレ,牡5,,岩下密政,02:44.0,ハナ,,,田中康三,8
5,6,11,ハクチカラ,牡4,,保田隆芳,02:44.0,ハナ,,,尾形藤吉,5
6,3,6,フェアマンナ,牝4,,佐藤嘉秋,02:44.2,1 3/4,,,大久保房松,4
7,2,4,ファイナルスコア,牡7,,近藤武夫,02:44.6,3    ,,,伊藤勝吉,6
8,6,12,ヒガシテラオー,牝4,,高橋英夫,02:45.4,5    ,,,大久保房松,11
9,1,2,ミナトリュウ,牡4,,渡邊正人,02:45.8,3 1/2,,,稗田虎伊,9
10,3,5,フクリユウ,牝5,,野平祐二,02:46.0, 1/2,,,稗田敏男,10
11,4,7,ダイナナホウシュウ,牡6,,上田三千夫,02:46.2,1 1/4,,,上田武司,2
12,5,10,ヘキラク,牡4,,藤本勝彦,02:46.4,2    ,,,藤本冨良,12




