順位,出来事
1位,エボラ出血熱でＷＨＯが緊急事態宣言
2位,韓国で旅客船「セウォル号」が沈没
3位,ノーベル平和賞にパキスタンのマララさんら
4位,ウクライナでマレーシア航空機が撃墜され２９８人死亡
5位,ロシアが「クリミア共和国」を国家承認、編入。ウクライナ危機深刻化
6位,勢力を拡大する「イスラム国」に米軍がイラクで空爆開始
7位,米中間選挙でオバマ政権与党の民主党が大敗
8位,北京行きマレーシア航空機が消息絶つ
9位,香港で行政長官選挙の民主化求めるデモ
10位,英北部スコットランドが住民投票で英残留を決定
