着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,7,オンワードゼア,牡5,,八木澤勝美,02:49.2,,,,二本柳俊夫,2
2,1,1,クリペロ,牡4,,森安弘明,02:50.0,4    ,,,尾形藤吉,5
3,6,9,マサタカラ,牡5,,保田隆芳,02:50.0,クビ,,,古賀嘉蔵,4
4,3,4,エドヒメ,牝4,,渡邊正人,02:50.0,アタマ,,,橋本輝雄,8
5,4,5,ラテイオー,牡4,,野平祐二,02:50.2,1 3/4,,,松山吉三郎,9
6,4,6,タメトモ,牡6,,高松三太,02:50.4, 3/4,,,土田順三,10
7,6,10,ミスオンワード,牝5,,栗田勝,02:50.4,クビ,,,武田文吾,1
8,3,3,コマヒカリ,牡4,,古山良司,02:50.6,1    ,,,橋本輝雄,6
9,5,8,オーテモン,牡4,,野平好男,02:52.2,9    ,,,尾形藤吉,7
10,2,2,ダイゴホマレ,牡4,,柴田富夫,02:54.0,10    ,,,久保田金造,3






