着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,6,オルフェーヴル,牡5,57,池添謙一,02:32.3,,466,前計不,池江泰寿,1
2,2,4,ウインバリアシオン,牡5,57,岩田康誠,02:33.6,8    ,534,-4,松永昌博,4
3,7,14,ゴールドシップ,牡4,57,Ｒ．ムーア,02:33.8,1 1/2,498,-2,須貝尚介,2
4,6,11,ラブイズブーシェ,牡4,57,武豊,02:34.2,2 1/2,456,6,村山明,12
5,4,7,タマモベストプレイ,牡3,55,和田竜二,02:34.3,クビ,496,-6,南井克巳,16
6,2,3,カレンミロティック,せん5,57,戸崎圭太,02:34.3,アタマ,450,-10,平田修,6
7,3,5,デスペラード,牡5,57,横山典弘,02:34.3,ハナ,478,4,安達昭夫,7
8,7,13,トゥザグローリー,牡6,57,Ｃ．ルメール,02:34.7,2 1/2,530,-4,池江泰寿,13
9,6,12,テイエムイナズマ,牡3,55,Ｍ．デムーロ,02:34.9,1 1/4,508,6,福島信晴,15
10,1,2,ヴェルデグリーン,牡5,57,田辺裕信,02:34.9,クビ,480,4,相沢郁,8
11,5,10,アドマイヤラクティ,牡5,57,Ｃ．ウィリアムズ,02:35.3,2 1/2,490,6,梅田智之,3
12,4,8,ラブリーデイ,牡3,55,蛯名正義,02:35.5,1 1/4,476,-4,池江泰寿,14
13,8,15,ナカヤマナイト,牡5,57,柴田善臣,02:35.7,1 1/2,498,4,二ノ宮敬宇,10
14,8,16,トーセンジョーダン,牡7,57,内田博幸,02:35.8, 1/2,482,2,池江泰寿,5
15,1,1,ダノンバラード,牡5,57,川田将雅,02:37.0,7    ,480,-4,池江泰寿,9
16,5,9,ルルーシュ,牡5,57,福永祐一,02:42.8,大差,512,8,藤沢和雄,11
