順位,出来事
1位,熊本地震、死者５０人
2位,東京都知事に小池百合子氏。築地市場の豊洲移転延期、五輪施設計画見直し
3位,リオ五輪、史上最多のメダル４１個
4位,天皇陛下、退位のご意向を示唆
5位,オバマ米大統領が広島訪問
6位,ノーベル生理学・医学賞に大隅氏
7位,北海道新幹線が開業
8位,相模原市の障害者施設で１９人刺殺
9位,１８歳選挙権施行
10位,「ポケモンＧＯ」日本で配信開始
