着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,6,スターロツチ,牝4,,高松三太,02:44.5,,,,松山吉三郎,9
2,4,8,オーテモン,牡6,,野平好男,02:44.8,1 3/4,,,田中和一郎,1
3,2,4,コマツヒカリ,牡5,,古山良司,02:45.1,1 3/4,,,大久保房松,7
4,1,1,キタノオーザ,牡4,,伊藤竹男,02:45.1,ハナ,,,久保田金造,6
5,3,5,オンワードベル,牡5,,渡邊正人,02:45.1,ハナ,,,二本柳俊夫,2
6,6,11,コダマ,牡4,,栗田勝,02:45.1,ハナ,,,武田文吾,5
7,2,3,マツカゼオー,牡4,,蛯名武五朗,02:45.2, 1/2,,,藤本冨良,3
8,1,2,ヘリオス,牡4,,大久保正陽,02:45.2,アタマ,,,大久保亀治,10
9,6,13,クリミナミ,牡5,,保田隆芳,02:45.6,2    ,,,大久保房松,11
10,6,12,ヒカルゲンジ,牡5,,加賀武見,02:45.9,1 3/4,,,阿部正太郎,12
11,5,9,ヤマニンモアー,牡4,,淺見國一,02:46.2,1 3/4,,,藤本冨良,4
12,5,10,ウネビヒカリ,牡5,,野平祐二,02:49.8,大差,,,野平省三,8
取消,4,7,ウイルデイール,牡5,,宇田明彦,,,,,星川泉士,-



