順位,出来事
1位,雅子さま、女児ご出産
2位,「えひめ丸」米原潜に衝突され沈没
3位,小泉内閣が発足
4位,国内初の「狂牛病」感染牛
5位,大阪・付属池田小で児童殺傷
6位,イチローが大リーグでＭＶＰ
7位,歌舞伎町ビル火災で４４人死亡
8位,巨人軍の長嶋監督が勇退
9位,野依博士にノーベル化学賞
10位,機密費流用など外務省不祥事相次ぐ
