順位,出来事
1位,阪神大震災死者５５０２人
2位,地下鉄サリン１１人死亡、オウム事件摘発
3位,野茂、大リーグで新人王
4位,沖縄の米軍基地問題で紛糾
5位,２信組乱脈融資事件、山口元労相を逮捕
6位,統一地方選、無党派旋風吹き荒れる
7位,不良債権の影響で金融不安拡大
8位,絶えぬ“いじめ死”
9位,都市博中止、問われる公約
10位,景気低迷で空前の就職難、失業率上昇
