着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,9,クロノジェネシス,牝4,55,北村友一,02:35.0,,474,10,斉藤崇史,1
2,7,14,サラキア,牝5,55,松山弘平,02:35.0,クビ,448,-2,池添学,11
3,7,13,フィエールマン,牡5,57,C.ルメール,02:35.1,クビ,470,0,手塚貴久,2
4,4,7,ラッキーライラック,牝5,55,福永祐一,02:35.5,2 1/2,520,0,松永幹夫,4
5,3,5,ワールドプレミア,牡4,57,武豊,02:35.6, 1/2,484,2,友道康夫,5
5,5,10,カレンブーケドール,牝4,55,池添謙一,02:35.6,同着,478,4,国枝栄,3
7,4,8,ペルシアンナイト,牡6,57,大野拓弥,02:35.6,アタマ,500,0,池江泰寿,12
8,2,3,クレッシェンドラヴ,牡6,57,坂井瑠星,02:35.8,1 1/2,500,0,林徹,16
9,8,15,オセアグレイト,牡4,57,横山典弘,02:35.9,クビ,494,-2,菊川正達,15
10,2,4,ラヴズオンリーユー,牝4,55,M.デムーロ,02:35.9,クビ,480,-6,矢作芳人,6
11,8,16,ユーキャンスマイル,牡5,57,岩田康誠,02:36.4,3    ,504,6,友道康夫,13
12,3,6,キセキ,牡6,57,浜中俊,02:36.5, 1/2,516,8,角居勝彦,8
13,1,1,バビット,牡3,55,内田博幸,02:36.8,2    ,458,8,浜田多実雄,10
14,6,12,オーソリティ,牡3,55,川田将雅,02:37.0,1    ,514,2,木村哲也,7
15,6,11,モズベッロ,牡4,57,田辺裕信,02:38.2,7    ,470,-10,森田直行,14
中止,1,2,ブラストワンピース,牡5,57,横山武史,,,546,-4,大竹正博,9
