順位,出来事
1位,米大リーグ本塁打記録更新
2位,インド、パキスタンが核実験
3位,米大統領の不倫もみ消し疑惑で報告書公表
4位,金大中氏が韓国大統領に就任
5位,中国の洪水死者、３０００人を超す
6位,中米でハリケーン被害
7位,インドネシアでスハルト体制崩壊
8位,米大使館同時爆弾テロ
9位,ロシア政局混迷、大統領に健康不安
10位,パプアニューギニアで大津波
