着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,5,イシノヒカル,牡4,,増沢末夫,02:38.5,,,,浅野武志,1
2,5,8,メジロアサマ,牡7,,池上昌弘,02:38.7,1 1/2,,,保田隆芳,2
3,6,10,ソロナオール,牡4,,高森紀夫,02:38.8, 3/4,,,佐藤嘉秋,8
4,5,7,オンワードガイ,牡5,,蓑田早人,02:38.8,クビ,,,森末之助,9
5,4,6,タクマオー,牡5,,蛯沢誠治,02:39.0,1 1/4,,,成宮明光,12
6,1,1,タイホウシロー,牡4,,柴田政人,02:39.4,2 1/2,,,高松三太,11
7,3,4,メジロムサシ,牡6,,横山富雄,02:39.6,1    ,,,大久保末吉,5
8,8,13,ロングエース,牡4,,武邦彦,02:39.7, 1/2,,,松田由太郎,4
9,6,9,ナスノカオリ,牝5,,小島太,02:39.9,1    ,,,稲葉幸夫,14
10,8,14,パツシングゴール,牡7,,新田幸春,02:40.1,1 1/2,,,大久保石松,10
11,7,12,カツタイコウ,牡5,,徳吉一己,02:40.2, 3/4,,,柄崎義信,6
12,7,11,タケデンバード,牡4,,郷原洋行,02:40.3,クビ,,,稲葉秀男,13
13,2,2,ベルワイド,牡5,,加賀武見,02:40.4,クビ,,,阿部正太郎,3
14,3,3,トクザクラ,牝4,,田村正光,02:40.6,1 1/4,,,梶与四松,7


