順位,出来事
1位,平昌五輪で日本は冬季最多１３メダル。フィギュア・羽生結弦は連覇
2位,西日本豪雨、死者２２０人超
3位,日大アメフト部選手が危険タックル。スポーツ界で不祥事相次ぐ
4位,テニス・大坂なおみが全米オープン優勝、四大大会で日本人初
5位,日産・ゴーン会長を逮捕
6位,北海道で震度７、道内全域で停電
7位,ノーベル生理学・医学賞に本庶氏
8位,オウム松本死刑囚ら元幹部の死刑執行
9位,大谷翔平、メジャー新人王に
10位,大型台風襲来、関空が冠水し孤立
