順位,出来事
1位,天皇陛下が即位。「令和」に改元
2位,ラグビーＷ杯日本大会開幕、日本８強
3位,京都アニメーション放火、３６人死亡
4位,消費税率１０％スタート
5位,東日本で台風大雨被害、死者相次ぐ
6位,ノーベル化学賞に吉野彰氏
7位,沖縄・首里城が焼失
8位,ゴルフ・渋野日向子が全英女子優勝
9位,マリナーズ・イチローが引退表明
10位,徴用工問題で日韓関係悪化
