着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,6,9,オルフェーヴル,牡3,55,池添謙一,02:36.0,,462,-4,池江泰寿,1
2,4,5,エイシンフラッシュ,牡4,57,Ｃ．ルメール,02:36.1, 3/4,488,-4,藤原英昭,7
3,5,7,トゥザグローリー,牡4,57,福永祐一,02:36.1,クビ,536,12,池江泰寿,9
4,8,14,ルーラーシップ,牡4,57,Ｉ．メンディザバル,02:36.2, 3/4,504,6,角居勝彦,11
5,6,10,トーセンジョーダン,牡5,57,Ｃ．ウィリアムズ,02:36.3,クビ,482,4,池江泰寿,3
6,3,3,ヒルノダムール,牡4,57,藤田伸二,02:36.4, 3/4,466,前計不,昆貢,8
7,1,1,ブエナビスタ,牝5,55,岩田康誠,02:36.5, 3/4,470,6,松田博資,2
8,2,2,ヴィクトワールピサ,牡4,57,Ｍ．デムーロ,02:36.5,ハナ,520,12,角居勝彦,4
9,8,13,レッドデイヴィス,せん3,55,武豊,02:36.5,クビ,484,2,音無秀孝,6
10,7,12,アーネストリー,牡6,57,佐藤哲三,02:36.6,クビ,534,4,佐々木晶三,5
11,7,11,ジャガーメイル,牡7,57,四位洋文,02:36.8,1 1/2,484,0,堀宣行,12
12,5,8,ローズキングダム,牡4,57,後藤浩輝,02:37.1,2    ,454,-8,橋口弘次郎,10
13,4,6,キングトップガン,牡8,57,柴田善臣,02:37.4,1 3/4,506,-2,鮫島一歩,13
取消,3,4,ペルーサ,牡4,57,安藤勝己,,,,,藤沢和雄,


