着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,9,スピードシンボリ,牡7,,野平祐二,02:35.1,,,,野平省三,6
2,7,12,アカネテンリユウ,牡4,,丸目敏栄,02:35.1,ハナ,,,橋本輝雄,3
3,4,6,ダイシンボルガード,牡4,,大崎昭一,02:35.8,4    ,,,柴田寛,12
4,8,14,メジロタイヨウ,牡6,,横山富雄,02:35.9, 1/2,,,八木沢勝美,4
5,3,4,ニツトエイト,牡6,,郷原洋行,02:35.9,アタマ,,,矢倉玉男,5
6,4,7,フイニイ,牡6,,保田隆芳,02:35.9,ハナ,,,尾形藤吉,2
7,6,11,ハクエイホウ,牡4,,森安重勝,02:35.9,ハナ,,,尾形藤吉,8
8,6,10,タケブエ,牡5,,畠山重則,02:36.0, 1/2,,,田中和夫,11
9,3,5,ライトワールド,牡5,,吉永正人,02:36.1, 3/4,,,三井末太郎,9
10,1,1,マーチス,牡5,,久保敏文,02:36.2, 3/4,,,伊藤修司,1
11,2,3,アタツクブルー,牡5,,藤本勝彦,02:36.3, 1/2,,,藤本冨良,7
12,2,2,メイジアスター,牝4,,野平幸雄,02:36.4, 1/2,,,野平省三,14
13,7,13,ダツシユリユー,牡4,,加賀武見,02:36.6,1 1/4,,,阿部正太郎,13
14,5,8,ギヤロツプ,牡4,,津田昭,02:36.8,1 1/4,,,秋山史郎,15
15,8,15,リユウズキ,牡6,,油木宣夫,02:37.3,3    ,,,矢倉玉男,10

