着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,10,ホマレボシ,牡5,,高松三太,02:40.8,レコード,,,稗田敏男,1
2,6,13,タカマガハラ,牡5,,加賀武見,02:40.9, 3/4,,,小西喜蔵,5
3,2,3,オンスロート,牡5,,山岡つとむ,02:40.9,アタマ,,,中村広,2
4,6,12,シーザー,牡5,,保田隆芳,02:40.9,アタマ,,,伊藤勝吉,3
5,3,6,メジロオー,牡4,,八木澤勝美,02:41.0,クビ,,,大久保末吉,4
6,4,8,オンワードベル,牡6,,野平祐二,02:42.0,6    ,,,二本柳俊夫,7
7,1,2,オカメ,牝4,,丸目敏栄,02:42.0,アタマ,,,橋本輝雄,10
8,3,5,キョクコウ,牡4,,境勝太郎,02:42.8,5    ,,,二本柳俊夫,11
9,6,11,グランドタイム,牡4,,伊藤竹男,02:42.9, 3/4,,,中野吉太郎,9
10,1,1,トウコン,牡4,,古賀一隆,02:43.4,2 1/2,,,矢野幸夫,12
11,4,7,ヘリオス,牡5,,大久保正陽,02:44.1,4    ,,,大久保亀治,6
12,5,9,アサカブト,牡4,,増沢末夫,02:44.6,3    ,,,佐々木猛,13
中止,2,4,ケンロクオー,牡4,,古山良司,,,,,藤本冨良,8



