順位,出来事
1位,ＪＲ福知山線脱線、１０７人死亡
2位,愛知万博開催
3位,紀宮さま、ご結婚
4位,衆院選で自民圧勝
5位,耐震強度偽装事件で大揺れ
6位,アスベスト関連死、続々と明るみ
7位,郵政民営化関連法が成立
8位,ロッテ、３１年ぶり日本一
9位,野口さん、宇宙へ
10位,横綱朝青龍が史上初の７連覇
