順位,出来事
1位,ダイアナさん交通事故死
2位,香港、中国に返還
3位,エジプトでテロ、邦人含む観光客５８人死亡
4位,マザー・テレサ死去
5位,トウ小平氏が死去
6位,タイガー・ウッズがマスターズ最年少制覇
7位,北朝鮮の食糧危機続く
8位,クローン羊が誕生
9位,東南アジアで煙害拡大
10位,対人地雷全面禁止に向けて前進
