順位,出来事
1位,尖閣諸島沖で中国漁船が海保巡視船と衝突、海上保安官が撮影ビデオを流出
2位,ノーベル化学賞に根岸氏、鈴木氏
3位,宮崎で「口蹄疫」発生
4位,１１３年間で最も暑い夏、気象庁発表
5位,鳩山首相退陣、後継に菅副総理・財務相
6位,小惑星探査機「はやぶさ」帰還
7位,参院選で民主大敗
8位,野球賭博関与で琴光喜ら解雇
9位,郵便不正事件の押収証拠改ざんで大阪地検特捜検事を逮捕、村木元局長の無罪確定
10位,サッカーＷ杯、日本は決勝Ｔ進出
