着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,13,ゴールドシップ,牡3,55,内田博幸,02:31.9,,506,6,須貝尚介,1
2,3,6,オーシャンブルー,牡4,57,C.ルメール,02:32.1,1 1/2,438,2,池江泰寿,10
3,5,9,ルーラーシップ,牡5,57,C.ウィリアムズ,02:32.2,クビ,512,6,角居勝彦,2
4,1,2,エイシンフラッシュ,牡5,57,三浦皇成,02:32.4,1 1/2,488,0,藤原英昭,3
5,2,3,スカイディグニティ,牡3,55,C.スミヨン,02:32.5, 1/2,480,-6,友道康夫,7
6,5,10,ダークシャドウ,牡5,57,Ｒ.ムーア,02:32.5,ハナ,514,2,堀宣行,4
7,8,15,ナカヤマナイト,牡4,57,柴田善臣,02:33.0,3    ,490,6,二ノ宮敬宇,5
8,8,16,ルルーシュ,牡4,57,横山典弘,02:33.4,2 1/2,514,12,藤沢和雄,6
9,7,14,ビートブラック,牡5,57,石橋脩,02:33.4,アタマ,522,8,中村均,8
10,4,7,ダイワファルコン,牡5,57,北村宏司,02:33.5, 3/4,514,8,上原博之,12
11,2,4,アーネストリー,牡7,57,福永祐一,02:33.5,アタマ,530,-4,佐々木晶三,14
12,1,1,ローズキングダム,牡5,57,岩田康誠,02:33.6, 1/2,460,6,橋口弘次郎,13
13,4,8,トレイルブレイザー,牡5,57,武豊,02:34.2,3 1/2,498,前計不,池江泰寿,9
14,6,12,オウケンブルースリ,牡7,57,田辺裕信,02:34.4,1 1/2,486,2,音無秀孝,15
15,3,5,ネヴァブション,牡9,57,田中勝春,02:34.5, 3/4,488,8,伊藤正徳,16
16,6,11,トゥザグローリー,牡5,57,蛯名正義,02:36.1,10    ,534,-4,池江泰寿,11
