順位,出来事
1位,新型インフルエンザ大流行、世界で死者相次ぐ
2位,オバマ米大統領が就任
3位,マイケル・ジャクソンさん急死
4位,米ＧＭ、クライスラーが相次ぎ経営破綻
5位,ノーベル平和賞にオバマ大統領
6位,北朝鮮が弾道ミサイル発射
7位,韓国で射撃場火災、日本人客１０人死亡
8位,中国新疆ウイグル自治区で暴動、１９７人死亡
9位,南太平洋、スマトラで大地震相次ぐ
10位,世界陸上、ボルト選手が３冠
