順位,出来事
1位,安倍首相が突然の退陣、後継に福田首相
2位,「不二家」が洋菓子販売休止、老舗「赤福」など偽装相次ぐ
3位,「年金記録漏れ」５０００万件判明
4位,参院選で自民歴史的惨敗、民主第１党に、与党は過半数割れ
5位,守屋前防衛次官逮捕、ゴルフ接待３８９万円収賄容疑
6位,新潟県中越沖地震、死者１５人
7位,松岡農相自殺、「政治とカネ」後絶たず
8位,宮崎知事にそのまんま東氏
9位,横綱朝青龍に２場所出場停止
10位,民営郵政スタート
