着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,10,オンスロート,牡6,,山岡つとむ,02:44.4,,,,中村広,1
2,3,5,タカマガハラ,牡6,,野平好男,02:44.7,1 3/4,,,小西喜蔵,3
3,3,6,アサリュウ,牡4,,加賀武見,02:44.8, 1/2,,,阿部正太郎,11
4,5,9,オカメ,牝5,,丸目敏栄,02:44.8,アタマ,,,橋本輝雄,12
5,1,2,トウコン,牡5,,境勝太郎,02:44.8,ハナ,,,矢野幸夫,4
6,4,8,エムローン,牡5,,森安重勝,02:44.8,ハナ,,,高木良三,2
7,6,12,ケンホウ,牝4,,古山良司,02:44.9, 1/2,,,藤本冨良,10
8,2,4,リュウゼツト,牝4,,梶輿四松,02:44.9,ハナ,,,元石正雄,13
9,1,1,スズホープ,牡4,,八木澤勝美,02:44.9,ハナ,,,森末之助,7
10,6,13,フェアーウィン,牡4,,高橋英夫,02:45.2,2    ,,,松山吉三郎,9
11,6,11,クリバン,牝5,,保田隆芳,02:45.2,ハナ,,,尾形藤吉,6
12,2,3,ハクオウ,牡5,,伊藤竹男,02:45.2,ハナ,,,古賀嘉蔵,8
13,4,7,リュウムサシ,牡4,,森安弘明,02:45.4,1 1/2,,,元石正雄,5



