順位,出来事
1位,国内初の臨界事故
2位,神奈川県警などで警察官の不祥事相次ぐ
3位,脳死移植、初の実施
4位,ハイジャックされ機長死亡
5位,近所の主婦、幼女を殺害
6位,キャンプ中流され、１３人死亡
7位,「地域振興券」を交付
8位,ダイエー、日本一
9位,中国産トキのヒナが誕生
10位,新東京都知事に石原慎太郎氏
