順位,出来事
1位,米大統領選でトランプ氏勝利
2位,英国民投票で「ＥＵ離脱」過半数
3位,韓国・朴大統領、友人女性の国政介入疑惑で窮地に
4位,ノーベル文学賞にボブ・ディランさん
5位,「パナマ文書」公開で各国に波紋
6位,オバマ米大統領がキューバ訪問
7位,北朝鮮が初の「水爆実験」実施発表
8位,ロシアの国主導でのドーピング認定
9位,ミャンマー新政権発足。スー・チー氏は事実上トップの国家顧問に就任
10位,キューバのカストロ前議長死去
