順位,出来事
1位,タイで洪水被害日系企業も大打撃
2位,ウサマ・ビンラーディン殺害
3位,チュニジアで長期独裁政権が崩壊、エジプト、リビアにも「アラブの春」
4位,ニュージーランド地震で日本人２８人を含む１８０人以上死亡
5位,ユーロ危機深刻化、欧州各国に波及
6位,中国高速鉄道で追突事故、４０人死亡
7位,米アップル社のスティーブ・ジョブズ会長が死去
8位,世界人口が７０億人突破
9位,中国が日本を抜き世界第２の経済大国に
10位,英ウィリアム王子が結婚
