着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,3,コレヒデ,牡5,,保田隆芳,02:37.0,,,,尾形藤吉,2
2,1,1,カブトシロー,牡5,,久保田秀次郎,02:37.1, 1/2,,,久保田彦之,7
3,4,6,スピードシンボリ,牡4,,野平祐二,02:37.1,ハナ,,,野平富久,6
4,6,10,ハマテツソ,牡5,,中神輝一郎,02:37.3,1 1/2,,,松山吉三郎,5
5,2,2,ナスノコトブキ,牡4,,森安弘明,02:37.4, 3/4,,,稲葉秀男,3
6,5,8,ブッシヤン,牡5,,大和田稔,02:38.3,5    ,,,二本柳俊夫,13
7,5,7,ハクズイコウ,牡6,,森安重勝,02:38.5,1 1/2,,,尾形藤吉,1
8,7,11,ヒシマサヒデ,牡5,,小野定夫,02:38.7,1    ,,,稗田敏男,4
9,6,9,ダイニセエチヨウ,牡4,,藤本勝彦,02:38.7,アタマ,,,藤本冨良,14
10,4,5,タマシユウホウ,牡4,,丸目敏栄,02:38.7,ハナ,,,稗田敏男,10
11,8,14,セフトウエー,牡5,,増沢末夫,02:38.9,1 1/4,,,野平省三,12
12,8,13,シエスキイ,牡4,,郷原洋行,02:39.0, 3/4,,,大久保房松,8
13,3,4,メジロボサツ,牝4,,矢野一博,02:40.5,9    ,,,大久保末吉,9
14,7,12,バリモスニセイ,牡6,,諏訪真,02:41.3,5    ,,,諏訪佐市,11


