順位,出来事
1位,衆院選で民主３０８議席の圧勝、歴史的政権交代で鳩山内閣発足
2位,日本でも新型インフルエンザ流行
3位,「裁判員制度」スタート
4位,日本がＷＢＣ連覇
5位,酒井法子容疑者、覚せい剤所持で逮捕
6位,天皇陛下即位２０年
7位,高速道「上限１０００円」スタート
8位,イチロー選手が大リーグ史上初の９年連続２００安打
9位,巨人が７年ぶり２１度目日本一
10位,「足利事件」の菅家さん釈放ＤＮＡ鑑定に誤り
