順位,出来事
1位,米国で同時テロ
2位,ブッシュ米大統領が就任
3位,米国で炭疽菌の被害広がる
4位,２００８年五輪の北京開催決定
5位,タリバンが大仏破壊
6位,国連とアナン事務総長にノーベル平和賞
7位,ネパール王宮で銃撃事件
8位,ウッズがメジャー４連勝
9位,史上初の宇宙観光旅行
10位,ボンズが本塁打新記録
