着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,5,スピードシンボリ,牡8,,野平祐二,02:35.7,,,,野平省三,3
2,6,7,アカネテンリユウ,牡5,,丸目敏栄,02:35.8,クビ,,,橋本輝雄,1
3,3,3,ダテテンリユウ,牡4,,宇田明彦,02:35.8,ハナ,,,星川泉士,4
4,6,6,アローエクスプレス,牡4,,柴田政人,02:36.3,3    ,,,高松三太,7
5,2,2,メジロアサマ,牡5,,池上昌弘,02:36.7,2 1/2,,,保田隆芳,2
6,4,4,カミタカ,牡4,,吉永正人,02:36.8,クビ,,,見上恒芳,8
7,1,1,マキノホープ,牡5,,加賀武見,02:37.0,1 1/2,,,田中和夫,6
8,7,8,ハクエイホウ,牡5,,森安重勝,02:37.2,1 1/2,,,尾形藤吉,9
9,8,11,スイジン,牡6,,町田精生,02:37.3, 3/4,,,田中和夫,11
10,7,9,コンチネンタル,牡5,,津田昭,02:38.8,9    ,,,野平富久,10
11,8,10,クリシバ,牡4,,郷原洋行,02:39.0,1 1/4,,,吉野勇,5





