着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,マツリダゴッホ,牡4,57,蛯名正義,02:33.6,,498,12,国枝栄,9
2,4,7,ダイワスカーレット,牝3,53,安藤勝己,02:33.8,1 1/4,486,2,松田国英,5
3,2,4,ダイワメジャー,牡6,57,Ｍ．デムーロ,02:34.2,2 1/2,538,10,上原博之,6
4,4,8,ロックドゥカンブ,牡3,53,Ｍ．キネーン,02:34.3,クビ,508,8,堀宣行,4
5,3,6,ポップロック,牡6,57,Ｏ．ペリエ,02:34.5,1 1/4,502,0,角居勝彦,2
6,1,2,ドリームパスポート,牡4,57,高田潤,02:34.8,2,474,4,松田博資,7
7,3,5,レゴラス,牡6,57,柴田善臣,02:35.1,2,510,0,加藤征弘,15
8,1,1,メイショウサムソン,牡4,57,武豊,02:35.2, 3/4,520,2,高橋成忠,1
9,6,12,インティライミ,牡5,57,福永祐一,02:35.3,クビ,466,-6,佐々木晶三,8
10,6,11,コスモバルク,牡6,57,松岡正海,02:35.6,2,510,0,田部和則,12
11,8,16,ウオッカ,牝3,53,四位洋文,02:35.7,クビ,488,0,角居勝彦,3
12,7,13,デルタブルース,牡6,57,川田将雅,02:35.7,クビ,524,-2,角居勝彦,10
13,8,15,チョウサン,牡5,57,横山典弘,02:36.3,3 1/2,494,0,清水利章,11
14,7,14,ハイアーゲーム,牡6,57,Ｃ．ルメール,02:36.6,1 3/4,524,8,大久保洋吉,13
15,5,9,サンツェッペリン,牡3,55,北村宏司,02:37.4,5,474,2,斎藤誠,14
取消,5,10,フサイチパンドラ,牝4,55,藤田伸二,,,,,白井寿昭,?
