順位,出来事
1位,猛烈な台風がフィリピン直撃、死者・行方不明者約８０００人
2位,英王子の妻キャサリン妃が男児出産
3位,露に隕石落下、１２００人以上負傷
4位,中国共産党の習近平総書記を国家主席に選出
5位,中国で大気汚染による濃霧が過去５０年で最多と判明
6位,ローマ法王に初の中南米出身枢機卿
7位,サッチャー元英首相が死去
8位,米英紙報道で米当局の通信監視が発覚
9位,オバマ米大統領の２期目スタート
10位,米ボストンマラソンのテロで３人死亡
