順位,出来事
1位,中国製ギョーザで中毒、中国産食品のトラブル相次ぐ
2位,福田首相が突然の退陣表明、後継は麻生首相
3位,ノーベル物理学賞に南部、小林、益川氏、化学賞には下村氏
4位,北京五輪で日本は「金」９個、競泳・北島選手ら連覇
5位,東京・秋葉原で無差別７人殺害
6位,後期高齢者医療制度スタート、保険料の年金天引きなどに批判
7位,元厚生次官宅襲撃事件で３人死傷、出頭の無職男を逮捕
8位,東京株、バブル後最安値を記録
9位,岩手・宮城で震度６強、１３人死亡
10位,洞爺湖サミット、温室効果ガス排出量半減の長期目標
