着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,6,6,シンボリルドルフ,牡5,,岡部幸雄,02:33.1,,,,野平祐二,1
2,2,2,ミホシンザン,牡4,,柴田政人,02:33.8,4    ,,,田中朋次郎,2
3,4,4,ニシノライデン,牡5,,伊藤清章,02:33.9, 3/4,,,伊藤修司,6
4,8,9,スダホーク,牡4,,田原成貴,02:34.2,2    ,,,古山良司,5
5,7,8,ギャロップダイナ,牡6,,根本康広,02:34.3, 1/2,,,矢野進,3
6,7,7,ハーバークラウン,牡5,,嶋田功,02:34.6,1 3/4,,,佐々木亜良,4
7,3,3,サクラサニーオー,牡4,,東信二,02:34.8,1    ,,,境勝太郎,7
8,5,5,カネクロシオ,牡6,,蛯沢誠治,02:35.1,1 3/4,,,成宮明光,8
9,1,1,ローラーキング,牡8,,安田富男,02:35.4,2    ,,,新関力,10
10,8,10,ヤマノシラギク,牝7,,的場均,02:35.5, 3/4,,,大久保正陽,9






