順位,出来事
1位,米大統領選でオバマ氏が再選
2位,中国共産党総書記に習近平氏
3位,金正恩氏が朝鮮労働党第１書記に
4位,英エリザベス女王の即位６０年で祝賀行事
5位,ミャンマー議会補選でスー・チー氏当選
6位,露大統領にプーチン首相が当選
7位,大型ハリケーン「サンディ」、米で死者１００人以上
8位,シリア内戦が泥沼化
9位,ＮＡＳＡ無人探査車が火星に着陸
10位,スペインがユーロ圏に金融支援要請、欧州の財政・金融危機続く
