着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,ガーネツト,牝5,,伊藤竹男,02:50.9,,,,稗田敏男,9
2,1,2,ハタノボル,牡4,,飯塚好次,02:51.5,4    ,,,松山吉三郎,3
3,6,11,オンワードベル,牡4,,蛯名武五朗,02:51.8,1 1/4,,,二本柳俊夫,4
4,5,9,オーテモン,牡5,,野平好男,02:51.8,ハナ,,,尾形藤吉,6
5,1,1,コマツヒカリ,牡4,,古山良司,02:51.8,アタマ,,,大久保房松,2
6,4,7,エドヒメ,牝5,,丸目敏栄,02:52.2,2    ,,,橋本輝雄,5
7,3,5,トキノウン,牡4,,高橋英夫,02:52.5,2    ,,,鈴木清,10
8,4,8,シゲミノル,牡4,,坂本榮三郎,02:52.8,1 3/4,,,中村広,11
9,2,4,カネチカラ,牡4,,森安弘明,02:52.9,クビ,,,阿部正太郎,7
10,6,12,ヒガシ,牝4,,増沢末夫,02:54.0,7    ,,,尾形藤吉,12
11,5,10,ウネビヒカリ,牡4,,野平幸雄,02:57.4,大差,,,野平省三,8
12,3,6,ハククラマ,牡4,,保田隆芳,02:58.8,8    ,,,尾形藤吉,1




