着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,11,ナリタブライアン,牡4,,南井克巳,02:32.2,,,,大久保正陽,1
2,5,8,ヒシアマゾン,牝4,,中舘英二,02:32.7,3    ,,,中野隆良,6
3,6,10,ライスシャワー,牡6,,的場均,02:33.1,2 1/2,,,飯塚好次,4
4,4,6,アイルトンシンボリ,牡6,,岡部幸雄,02:33.2, 1/2,,,畠山重則,3
5,6,9,ナイスネイチャ,牡7,,松永昌博,02:33.3,クビ,,,松永善晴,11
6,7,12,サクラチトセオー,牡5,,小島太,02:33.3,クビ,,,境勝太郎,5
7,8,14,ムッシュシェクル,牡7,,藤田伸二,02:33.6,1 3/4,,,小林稔,12
8,8,13,チョウカイキャロル,牝4,,小島貞博,02:33.6,アタマ,,,鶴留明雄,9
9,5,7,ネーハイシーザー,牡5,,塩村克己,02:33.8,1    ,,,布施正,2
10,2,2,マチカネアレグロ,牡4,,河内洋,02:33.9, 3/4,,,浅見秀一,7
11,3,4,ヤシマソブリン,牡4,,坂井千明,02:33.9,クビ,,,松山康久,8
12,1,1,ダンシングサーパス,牡5,,熊沢重文,02:34.6,4    ,,,内藤繁春,13
13,4,5,ツインターボ,牡7,,田中勝春,02:37.2,大差,,,笹倉武久,10
取消,3,3,マチカネタンホイザ,牡6,,柴田善臣,?,?,,,伊藤雄二,


