順位,出来事
1位,御嶽山噴火で死者５７人、行方不明者６人
2位,消費税８％スタート
3位,ノーベル物理学賞に青色ＬＥＤを開発した赤崎勇、天野浩、中村修二の３氏
4位,全米テニスで錦織圭が準優勝
5位,「アベノミクス」の評価を問う衆院選
6位,広島市北部の土砂災害で７４人が死亡
7位,ＳＴＡＰ細胞論文に改ざんなど不正
8位,ソチ五輪で日本は金１、銀４、銅３
9位,世界文化遺産に「富岡製糸場」
10位,高倉健さん死去
