順位,出来事
1位,トルコで大地震
2位,台湾で大地震
3位,ＮＡＴＯ軍、ユーゴ空爆
4位,ユーロが始動
5位,東ティモール、独立へ
6位,世界人口、６０億突破
7位,米高校で銃乱射
8位,「国境なき医師団」にノーベル平和賞
9位,米大統領に無罪評決
10位,印パがミサイル実験
