着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,4,ディープインパクト,牡4,57,武豊,02:31.9,,438,2,池江泰郎,1
2,1,1,ポップロック,牡5,57,Ｏ．ペリエ,02:32.4,3,494,前計不,角居勝彦,6
3,4,5,ダイワメジャー,牡5,57,安藤勝己,02:32.5, 3/4,532,6,上原博之,3
4,3,3,ドリームパスポート,牡3,55,内田博幸,02:32.5,ハナ,478,12,松田博資,2
5,5,8,メイショウサムソン,牡3,55,石橋守,02:32.7,1 1/4,518,4,瀬戸口勉,4
6,2,2,デルタブルース,牡5,57,岩田康誠,02:32.7,クビ,520,前計不,角居勝彦,9
7,6,9,トウショウナイト,牡5,57,武士沢友治,02:32.8, 3/4,496,14,保田一隆,10
8,7,12,アドマイヤフジ,牡4,57,武幸四郎,02:32.8,クビ,528,-8,橋田満,12
9,6,10,アドマイヤメイン,牡3,55,柴田善臣,02:32.8,ハナ,496,-7,橋田満,7
10,4,6,スイープトウショウ,牝5,55,池添謙一,02:32.9,クビ,456,-8,鶴留明雄,5
11,5,7,コスモバルク,牡5,57,五十嵐冬樹,02:33.2,2,512,2,田部和則,8
12,7,11,スウィフトカレント,牡5,57,横山典弘,02:33.3,クビ,478,-4,森秀行,11
13,8,13,ウインジェネラーレ,牡6,57,蛯名正義,02:33.6,1 3/4,556,0,国枝栄,13
14,8,14,トーセンシャナオー,牡3,55,勝浦正樹,02:34.0,2 1/2,442,-4,森秀行,14
