順位,出来事
1位,タイの洞窟で少年ら１３人全員救出
2位,史上初の米朝首脳会談、緊張緩和進む
3位,インドネシア地震・津波、死者２０００人以上
4位,南北首脳会談、朝鮮半島非核化で合意
5位,トルコのサウジ総領事館で記者殺害
6位,英ヘンリー王子、米女優と挙式
7位,平昌五輪開幕、韓国と北朝鮮が史上初の合同チーム結成
8位,米が輸入制限発動、米中摩擦が激化
9位,米中間選挙。上院共和、下院民主勝利
10位,ＥＵ、英離脱協定を正式決定
