着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,6,サクラローレル,牡6,,横山典弘,02:33.8,,,,境勝太郎,1
2,7,11,マーベラスサンデー,牡5,,武豊,02:34.2,2 1/2,,,大沢真,3
3,3,4,マイネルブリッジ,牡5,,坂本勝美,02:34.3, 1/2,,,伊藤正徳,14
4,5,8,ロイヤルタッチ,牡4,,岡部幸雄,02:35.0,4    ,,,伊藤雄二,6
5,4,5,ヒシアマゾン,牝6,,河内洋,02:35.0,クビ,,,中野隆良,5
6,8,14,ダンスパートナー,牝5,,四位洋文,02:35.2,1 1/2,,,白井寿昭,12
7,3,3,マヤノトップガン,牡5,,田原成貴,02:35.3, 1/2,,,坂口正大,2
8,2,2,カネツクロス,牡6,,的場均,02:35.6,1 3/4,,,西塚安夫,11
9,6,9,ホクトベガ,牝7,,藤田伸二,02:36.0,2 1/2,,,中野隆良,9
10,6,10,ファビラスラフイン,牝4,,松永幹夫,02:36.1, 1/2,,,長浜博之,4
11,8,13,タイキフォーチュン,牡4,,柴田善臣,02:36.5,2 1/2,,,高橋祥泰,7
12,7,12,マルカダイシス,牡4,,熊沢重文,02:36.7,1 1/2,,,内藤繁春,8
13,1,1,エルウェーウィン,牡7,,南井克巳,02:37.2,3    ,,,坪憲章,13
14,5,7,ジェニュイン,牡5,,Ｏ．ペリエ,02:37.2,クビ,,,松山康久,10


