着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,3,3,ホウヨウボーイ,牡6,,加藤和宏,02:33.7,,,,二本柳俊夫,4
2,4,4,カツラノハイセイコ,牡5,,河内洋,02:33.7,ハナ,,,庄野穂積,3
3,2,2,カネミノブ,牡7,,加賀武見,02:33.8, 1/2,,,阿部新生,2
4,1,1,メジロファントム,牡6,,横山富雄,02:34.2,2 1/2,,,大久保洋吉,1
5,7,9,リンドタイヨー,牡4,,中島啓之,02:34.4,1 1/2,,,見上恒芳,11
6,8,12,ユキフクオー,牡6,,小島太,02:34.4,アタマ,,,古山良司,10
7,5,6,ハワイアンイメージ,牡4,,増沢末夫,02:34.4,アタマ,,,鈴木勝太郎,8
8,5,5,サーペンプリンス,牡4,,谷原義明,02:34.4,ハナ,,,大久保末吉,6
9,6,7,アラナスゼット,牡5,,岡部幸雄,02:34.6,1 1/4,,,森安弘昭,12
10,8,11,サクラシンゲキ,牡4,,東信二,02:36.3,大差,,,境勝太郎,9
11,7,10,タケノハッピー,牝4,,伊藤正徳,02:36.4, 1/2,,,尾形藤吉,5
12,6,8,プリテイキャスト,牝6,,柴田政人,02:38.2,大差,,,石栗龍雄,7




