着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,7,ゴールドアクター,牡4,57,吉田隼人,02:33.0,,494,4,中川公成,8
2,5,9,サウンズオブアース,牡4,57,M.デムーロ,02:33.0,クビ,502,0,藤岡健一,5
3,6,11,キタサンブラック,牡3,55,横山典弘,02:33.1, 3/4,526,-4,清水久詞,4
4,8,16,マリアライト,牝4,55,蛯名正義,02:33.1,アタマ,434,4,久保田貴士,12
5,2,4,ラブリーデイ,牡5,57,川田将雅,02:33.2, 1/2,488,2,池江泰寿,2
6,5,10,トーセンレーヴ,牡7,57,Ｈ.ボウマン,02:33.3,クビ,480,2,池江泰寿,14
7,3,5,アドマイヤデウス,牡4,57,岩田康誠,02:33.3,ハナ,484,4,橋田満,11
8,8,15,ゴールドシップ,牡6,57,内田博幸,02:33.3,クビ,508,-2,須貝尚介,1
9,4,8,ワンアンドオンリー,牡4,57,浜中俊,02:33.5,1    ,498,0,橋口弘次郎,10
10,7,13,ルージュバック,牝3,53,戸崎圭太,02:33.5,クビ,458,6,大竹正博,6
11,3,6,アルバート,牡4,57,Ａ.アッゼニ,02:33.6,クビ,466,0,堀宣行,7
12,2,3,ラストインパクト,牡5,57,菱田裕二,02:33.6,クビ,496,2,松田博資,9
13,1,2,ヒットザターゲット,牡7,57,小牧太,02:33.7, 1/2,516,2,加藤敬二,13
14,7,14,ダービーフィズ,牡5,57,大野拓弥,02:33.9,1 1/4,462,-6,小島太,16
15,1,1,オーシャンブルー,牡7,57,石川裕紀人,02:35.4,9    ,446,2,池江泰寿,15
16,6,12,リアファル,牡3,55,C.ルメール,02:35.5,クビ,506,0,音無秀孝,3
