着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,14,シルクジャスティス,牡4,,藤田伸二,02:34.8,,,,大久保正陽,4
2,2,3,マーベラスサンデー,牡6,,武豊,02:34.8,アタマ,,,大沢真,1
3,6,12,エアグルーヴ,牝5,,Ｏ．ペリエ,02:34.9,クビ,,,伊藤雄二,2
4,2,4,ローゼンカバリー,牡5,,横山典弘,02:35.3,2 1/2,,,鈴木康弘,8
5,5,9,オースミタイクーン,牡7,,武幸四郎,02:35.5,1 1/2,,,武邦彦,11
6,4,8,テイエムオオアラシ,牡5,,土肥幸広,02:35.6, 1/2,,,二分久男,7
7,7,13,マウンテンストーン,牡5,,蛯名正義,02:36.0,2 1/2,,,小島太,10
8,8,15,メジロドーベル,牝4,,吉田豊,02:36.0,アタマ,,,大久保洋吉,3
9,5,10,タイキブリザード,牡7,,Ｍ．ロバーツ,02:36.7,4    ,,,藤沢和雄,6
10,1,1,インターユニーク,牡7,,小野次郎,02:36.8, 1/2,,,高松邦男,13
11,3,6,マイネルブリッジ,牡6,,藤原英幸,02:36.9, 3/4,,,伊藤正徳,15
12,8,16,アロハドリーム,牡5,,加藤和宏,02:37.0, 1/2,,,岩城博俊,16
13,6,11,サンデーブランチ,牡6,,熊沢重文,02:38.1,7    ,,,池江泰郎,9
14,1,2,ダンスパートナー,牝6,,河内洋,02:38.8,4    ,,,白井寿昭,5
15,3,5,マイネルマックス,牡4,,佐藤哲三,02:43.2,大差,,,中村均,12
16,4,7,カネツクロス,牡7,,的場均,02:46.7,大差,,,西塚安夫,14
