着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,12,シンボリクリスエス,牡4,57,Ｏ．ペリエ,02:30.5,レコード,538,-2,藤沢和雄,1
2,3,3,リンカーン,牡3,55,武豊,02:32.0,9    ,466,0,音無秀孝,4
3,2,2,ゼンノロブロイ,牡3,55,柴田善臣,02:32.1, 3/4,506,12,藤沢和雄,3
4,1,1,ツルマルボーイ,牡5,57,横山典弘,02:32.2, 1/2,454,-8,橋口弘次郎,6
5,5,5,ウインブレイズ,牡6,57,木幡初広,02:32.3,クビ,540,6,宗像義忠,10
6,4,4,ダービーレグノ,牡5,57,蛯名正義,02:32.4, 3/4,458,0,高橋成忠,12
7,6,7,チャクラ,牡3,55,後藤浩輝,02:32.6,1 1/4,466,8,安達昭夫,8
8,5,6,タップダンスシチー,牡6,57,佐藤哲三,02:32.8,1 1/4,506,4,佐々木晶三,2
9,8,11,アグネスデジタル,牡6,57,四位洋文,02:32.8,アタマ,466,-2,白井寿昭,7
10,7,9,ファストタテヤマ,牡4,57,安田康彦,02:33.9,7    ,458,-2,安田伊佐夫,11
11,6,8,ザッツザプレンティ,牡3,55,安藤勝己,02:34.2,1 3/4,502,6,橋口弘次郎,5
12,7,10,アクティブバイオ,牡6,57,武幸四郎,02:36.1,大差,504,4,崎山博樹,9




