順位,出来事
1位,紀子さまが男子ご出産
2位,トリノ五輪、フィギュア荒川静香選手が「金」
3位,ＷＢＣ、王ジャパン初代王者
4位,安倍内閣が発足
5位,夏の甲子園決勝、３７年ぶり引き分け再試合で早実が初優勝
6位,ライブドア事件で堀江貴文社長ら逮捕
7位,福岡で中２が遺書残し自殺、「いじめ苦」自殺相次ぐ
8位,日本ハム、４４年ぶり日本一
9位,秋田の小１男児が殺害され発見、子供が犠牲の犯罪相次ぐ
10位,福岡市職員の飲酒事故で３児死亡、自治体で飲酒運転への懲戒免職広がる
