順位,出来事
1位,２０２０年夏季五輪・パラリンピックの開催地が東京に決定
2位,富士山が世界文化遺産に決定
3位,参院選で自民、公明両党が過半数獲得、ねじれ解消
4位,楽天が初の日本一
5位,長嶋茂雄氏と松井秀喜氏に国民栄誉賞
6位,伊豆大島で土石流災害、死者３５人
7位,消費税率８％への引き上げ決定
8位,楽天の田中投手が連勝の新記録
9位,安倍首相、ＴＰＰ交渉参加を表明
10位,ホテルなどで食材偽装の発覚相次ぐ
