順位,出来事
1位,トランプ米大統領が就任
2位,北朝鮮が６回目の核実験。弾道ミサイル発射も相次ぎ強行
3位,金正男氏、マレーシアの空港で殺害
4位,ノーベル文学賞にカズオ・イシグロ氏
5位,韓国・朴大統領の罷免決定
6位,仏大統領にマクロン氏。最年少３９歳
7位,英政府がＥＵ離脱を正式通知
8位,米ラスベガスで銃乱射、５８人死亡
9位,トランプ氏が「パリ協定」離脱表明
10位,メキシコ地震、死者３６９人
