着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,8,ダイユウサク,牡7,,熊沢重文,02:30.6,レコード,,,内藤繁春,14
2,1,1,メジロマックイーン,牡5,,武豊,02:30.8,1 1/4,,,池江泰郎,1
3,3,5,ナイスネイチャ,牡4,,松永昌博,02:31.1,1 3/4,,,松永善晴,2
4,4,6,プレクラスニー,牡5,,江田照男,02:31.1,クビ,,,矢野照正,3
5,3,4,ダイタクヘリオス,牡5,,岸滋彦,02:31.3,1 1/4,,,梅田康雄,9
6,2,3,ヤマニングローバル,牡5,,河内洋,02:31.3,アタマ,,,浅見国一,7
7,4,7,メインキャスター,牝6,,南井克巳,02:31.4, 1/2,,,宇田明彦,12
8,7,13,オサイチジョージ,牡6,,丸山勝秀,02:31.6,1 1/4,,,土門一美,10
9,6,11,プリンスシン,牡5,,田島良保,02:31.6,クビ,,,安田伊佐夫,4
10,6,10,フジヤマケンザン,牡4,,小島貞博,02:31.8,1 1/4,,,戸山為夫,8
11,8,14,カリブソング,牡6,,柴田政人,02:32.0,1 1/4,,,加藤修甫,6
12,8,15,メジロライアン,牡5,,横山典弘,02:32.0,アタマ,,,奥平真治,5
13,2,2,ミュージックタイム,牡5,,岡部幸雄,02:33.0,6    ,,,松山康久,13
14,7,12,ツインターボ,牡4,,大崎昭一,02:34.4,9    ,,,笹倉武久,11
15,5,9,オースミシャダイ,牡6,,内田国夫,02:35.1,4    ,,,武邦彦,15

