順位,出来事
1位,１４歳棋士、藤井四段が２９連勝の新記録
2位,天皇退位特例法が成立。１９年４月末退位、５月改元へ
3位,横綱日馬富士が暴行問題で引退
4位,秋篠宮眞子さま婚約内定
5位,衆院選で自民圧勝。突然の解散で民進分裂、立憲民主が野党第１党に
6位,陸上１００メートル桐生、日本人初の９秒台
7位,神奈川・座間のアパートで切断９遺体
8位,上野動物園でパンダ誕生
9位,「森友」「加計」問題などで内閣支持率急落
10位,稀勢の里が第７２代横綱に
