順位,出来事
1位,クリントン大統領再選
2位,英皇太子夫妻が離婚
3位,エリツィン大統領再選
4位,インド上空で航空機衝突、３４９人が死亡
5位,北朝鮮潜水艦が韓国に侵入
6位,全斗煥元大統領に死刑判決
7位,ＥＵが英国産牛肉全面禁輸を決定
8位,ミャンマー軍政、民主化勢力を大量拘束
9位,五輪公園で爆弾テロ
10位,仏、核実験終結を宣言
