順位,出来事
1位,新型コロナ感染拡大、緊急事態宣言発令
2位,東京五輪・パラリンピックが延期に
3位,菅首相誕生、新内閣が発足
4位,安倍首相、持病悪化を理由に辞任表明
5位,志村けんさんが新型コロナで死去。著名人の死去相次ぐ
6位,アニメ映画「鬼滅の刃」、国内最速で興行収入１００億円突破
7位,新型コロナで政府が全国小中高の休校要請
8位,高校野球が春夏中止。プロスポーツ界でも延期や中止相次ぐ
9位,将棋の藤井聡太七段が最年少タイトル
10位,九州豪雨、死者７７人
