順位,出来事
1位,米大統領選、大接戦で混乱
2位,ロシア原潜沈没、１１８人死亡
3位,朝鮮半島で初の南北首脳会談
4位,パリ郊外でコンコルド墜落
5位,露大統領にプーチン氏当選
6位,金大中大統領ノーベル平和賞
7位,ペルーのフジモリ大統領罷免
8位,パレスチナ和平プロセス危機
9位,ＬＯＶＥウイルス猛威
10位,ウッズ、メジャー年間３勝
