着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,4,マンハッタンカフェ,牡3,55,蛯名正義,02:33.1,,504,10,小島太,3
2,1,1,アメリカンボス,牡6,57,江田照男,02:33.3,1 1/4,486,6,田子冬樹,13
3,2,2,トゥザヴィクトリー,牝5,55,武豊,02:33.3,クビ,488,-2,池江泰郎,6
4,8,13,メイショウドトウ,牡5,57,安田康彦,02:33.3,アタマ,512,4,安田伊佐夫,2
5,8,12,テイエムオペラオー,牡5,57,和田竜二,02:33.3,アタマ,480,0,岩元市三,1
6,6,8,テイエムオーシャン,牝3,53,本田優,02:33.5, 3/4,440,-6,西浦勝一,8
7,6,9,シンコウカリド,牡3,55,田中勝春,02:33.7,1 1/4,520,20,宗像義忠,7
8,5,7,メイショウオウドウ,牡6,57,飯田祐史,02:33.7,ハナ,474,0,飯田明弘,11
9,7,10,トウカイオーザ,牡4,57,Ｍ．デムーロ,02:33.7,クビ,492,14,松元省一,5
10,4,5,ナリタトップロード,牡5,57,渡辺薫彦,02:33.9,1    ,494,4,沖芳夫,4
11,5,6,ダイワテキサス,牡8,57,柴田善臣,02:33.9,ハナ,478,4,増沢末夫,12
12,7,11,イブキガバメント,牡5,57,河内洋,02:34.6,4    ,490,-8,橋口弘次郎,10
13,3,3,ホットシークレット,せん5,57,横山典弘,02:34.9,1 3/4,452,2,後藤由之,9



