着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,カネミノブ,牡5,,加賀武見,02:33.4,レコード,,,阿部新生,9
2,8,15,インターグロリア,牝5,,樋口弘,02:33.6,1    ,,,柳田次男,10
3,3,4,メジロイーグル,牡4,,河内洋,02:33.6,クビ,,,伊藤修司,8
4,6,11,カネミカサ,牡5,,蛯沢誠治,02:34.1,3    ,,,成宮明光,12
5,3,5,サクラショウリ,牡4,,小島太,02:34.2, 1/2,,,久保田彦之,4
6,1,1,グリーングラス,牡6,,岡部幸雄,02:34.2,ハナ,,,中野隆良,3
7,8,14,エリモジヨージ,牡7,,福永洋一,02:34.3, 1/2,,,大久保正陽,5
8,5,8,キタノコンゴウ,牡4,,菅原泰夫,02:34.5,1    ,,,本郷一彦,11
9,7,13,カシュウチカラ,牡6,,出口明見,02:34.5,クビ,,,矢倉玉男,6
10,7,12,シービークロス,牡4,,吉永正人,02:34.6, 3/4,,,松山吉三郎,13
11,5,9,リュウキコウ,牡5,,久保敏文,02:34.6,アタマ,,,久保道雄,7
12,6,10,プレストウコウ,牡5,,郷原洋行,02:34.7,クビ,,,加藤朝治郎,1
13,2,2,メジロファントム,牡4,,宮田仁,02:34.7,クビ,,,大久保洋吉,14
14,4,7,ホクトボーイ,牡6,,武邦彦,02:34.9, 3/4,,,久保道雄,2
15,4,6,ヤマブキオー,牡9,,徳吉一己,02:35.5,4    ,,,森末之助,15

