着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,1,1,シンボリクリスエス,牡3,55,O.ペリエ,02:32.6,,528,-8,藤沢和雄,2
2,5,8,タップダンスシチー,牡5,57,佐藤哲三,02:32.7, 1/2,500,-8,佐々木晶三,13
3,2,2,コイントス,牡4,57,岡部幸雄,02:33.0,2    ,538,8,藤沢和雄,8
4,7,11,ナリタトップロード,牡6,57,渡辺薫彦,02:33.4,2 1/2,506,8,沖芳夫,4
5,7,12,ファインモーション,牝3,53,武豊,02:33.4,クビ,482,-6,伊藤雄二,1
6,4,6,ノーリーズン,牡3,55,蛯名正義,02:33.7,1 3/4,476,2,池江泰郎,6
7,6,9,ジャングルポケット,牡4,57,藤田伸二,02:33.9,1    ,476,-2,渡辺栄,3
8,8,13,フサイチランハート,牡5,57,Ｄ.バルジュー,02:33.9,クビ,494,6,河野通文,14
9,3,4,エアシャカール,牡5,57,横山典弘,02:34.1,1 1/4,510,2,森秀行,7
10,4,5,テイエムオーシャン,牝4,55,本田優,02:34.1,クビ,468,6,西浦勝一,10
11,3,3,ヒシミラクル,牡3,55,角田晃一,02:34.2, 1/2,464,4,佐山優,5
12,8,14,アクティブバイオ,牡5,57,後藤浩輝,02:34.4, 3/4,502,2,崎山博樹,12
13,5,7,アメリカンボス,牡7,57,江田照男,02:34.7,2    ,492,6,田子冬樹,11
14,6,10,イーグルカフェ,牡5,57,田中勝春,02:34.9,1 1/4,486,14,小島太,9


