着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,6,10,オグリキャップ,牡4,,岡部幸雄,02:33.9,,,,瀬戸口勉,2
2,7,11,タマモクロス,牡5,,南井克巳,02:34.0, 1/2,,,小原伊佐美,1
3,3,5,サッカーボーイ,牡4,,河内洋,02:34.3, 1/2,,,小野幸治,3
4,1,1,ランニングフリー,牡6,,菅原泰夫,02:34.4,クビ,,,本郷一彦,10
5,5,8,メジロデュレン,牡6,,村本善之,02:34.6,1    ,,,池江泰郎,7
6,8,13,フレッシュボイス,牡6,,田原成貴,02:34.6,クビ,,,境直行,11
7,2,4,サニースワロー,牡5,,大西直宏,02:34.9,1 3/4,,,中尾銑治,12
8,5,9,スズパレード,牡8,,蛯沢誠治,02:34.9,ハナ,,,富田六郎,6
9,4,6,マティリアル,牡5,,東信二,02:34.9,クビ,,,田中和夫,8
10,1,2,コーセイ,牝5,,大崎昭一,02:35.0,クビ,,,尾形盛次,13
11,8,12,ハワイアンコーラル,牡4,,増沢末夫,02:35.2,1 1/4,,,中村広,9
12,2,3,レジェンドテイオー,牡6,,郷原洋行,02:35.2,クビ,,,田村駿仁,5
失格,4,7,スーパークリーク,牡4,,武豊,?,?,,,伊藤修司,4



