着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,4,4,シンボリルドルフ,牡4,,岡部幸雄,02:32.8,レコード,,,野平祐二,1
2,7,9,カツラギエース,牡5,,西浦勝一,02:33.1,2    ,,,土門一美,3
3,2,2,ミスターシービー,牡5,,吉永正人,02:33.3,1 1/2,,,松山康久,2
4,1,1,スズマッハ,牡4,,大崎昭一,02:33.6,1 3/4,,,仲住芳雄,8
5,5,6,サクラガイセン,牡5,,小島太,02:33.7, 3/4,,,久保田彦之,5
6,8,10,ミサキネバアー,牡6,,増沢末夫,02:33.7,ハナ,,,田中四郎,7
7,8,11,ダイナカール,牝5,,安田富男,02:33.8, 1/2,,,高橋英夫,9
8,6,8,ダスゲニー,牝5,,田村正光,02:34.1,1 3/4,,,新関力,11
9,3,3,メジロシートン,牡4,,的場均,02:35.2,7    ,,,大久保洋吉,4
10,6,7,キョウワサンダー,牝4,,樋口弘,02:35.5,1 3/4,,,吉岡八郎,10
11,5,5,トウショウペガサス,牡6,,中島啓之,02:35.5,クビ,,,奥平真治,6





