順位,出来事
1位,大谷翔平、メジャーＭＶＰに
2位,東京五輪、日本は史上最多５８メダル
3位,新型コロナワクチン接種開始
4位,眞子さま、小室圭さん結婚
5位,静岡・熱海で土石流、死者・行方不明者２７人
6位,新型コロナ、変異株が猛威
7位,自民党総裁に岸田氏、首相に就任
8位,将棋・藤井聡太さんが新竜王、最年少四冠に
9位,ゴルフの松山英樹がマスターズ優勝
10位,東京五輪「原則無観客」決定。直前まで混乱続く
