着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,15,リードホーユー,牡4,,田原成貴,02:34.0,,,,服部正利,3
2,3,6,テュデナムキング,牡4,,的場均,02:34.1, 3/4,,,大久保房松,12
3,5,9,アンバーシャダイ,牡7,,加藤和宏,02:34.2, 1/2,,,二本柳俊夫,1
4,3,5,ダイナカール,牝4,,安田富男,02:34.3,クビ,,,高橋英夫,9
5,6,12,ワカテンザン,牡5,,小谷内秀夫,02:34.6,2    ,,,戸山為夫,6
6,6,11,メジロティターン,牡6,,伊藤正徳,02:34.6,アタマ,,,尾形盛次,10
7,7,13,モンテファスト,牡6,,吉永正人,02:34.7,クビ,,,松山吉三郎,4
8,4,8,ミスラディカル,牝5,,音無秀孝,02:34.9,1 1/4,,,田中良平,5
9,4,7,トウショウゴッド,牡7,,郷原洋行,02:34.9,アタマ,,,奥平真治,14
10,5,10,エイティトウショウ,牝6,,中島啓之,02:35.0, 1/2,,,奥平真治,11
11,1,1,ビクトリアクラウン,牝5,,田村正光,02:35.2,1 1/4,,,稲葉幸夫,8
12,2,4,ビンゴカンタ,牡4,,岡部幸雄,02:35.2,ハナ,,,鈴木清,2
13,8,16,スイートカーソン,牝5,,増沢末夫,02:35.6,2 1/2,,,大和田稔,15
14,2,3,カミノスミレ,牝6,,加賀武見,02:35.7, 1/2,,,中村広,16
15,1,2,ホクトフラッグ,牡5,,東信二,02:36.2,3    ,,,中野隆良,13
16,7,14,ハギノカムイオー,牡5,,小島太,02:37.2,6    ,,,伊藤修司,7
