順位,出来事
1位,東日本大震災死者・不明者約２万人
2位,サッカー「なでしこジャパン」世界一
3位,福島第一原発事故で深刻な被害
4位,大相撲で八百長発覚、春場所中止に
5位,新首相に野田佳彦氏
6位,スカイツリー「世界一」６３４メートルに到達
7位,大型台風上陸相次ぎ記録的被害
8位,大阪ダブル選、「都構想」で共闘の橋下氏が大阪市長、松井氏が府知事に初当選
9位,テレビ放送が地デジに移行
10位,節電の夏、３７年ぶり電力使用制限令
