着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,3,グリーングラス,牡7,,大崎昭一,02:35.4,,,,中野隆良,2
2,6,12,メジロファントム,牡5,,横山富雄,02:35.4,ハナ,,,大久保洋吉,6
3,4,7,カネミノブ,牡6,,加賀武見,02:35.9,3    ,,,阿部新生,7
4,3,6,ハシクランツ,牡4,,柴田光陽,02:36.1,1 1/4,,,内藤繁春,8
5,2,4,ホクトボーイ,牡7,,久保敏文,02:36.4,1 3/4,,,久保道雄,15
6,3,5,サクラショウリ,牡5,,小島太,02:36.4,アタマ,,,久保田彦之,1
7,7,13,テンメイ,牡6,,清水英次,02:36.7,2    ,,,坂田正行,9
8,1,2,カネミカサ,牡6,,蛯沢誠治,02:36.9,1 1/2,,,成宮明光,11
9,6,11,インターグロリア,牝6,,樋口弘,02:37.1,1 1/2,,,柳田次男,4
10,8,15,リンドプルバン,牡4,,嶋田功,02:37.1,アタマ,,,見上恒芳,10
11,5,10,バンブトンコート,牡5,,伊藤清章,02:37.3,1    ,,,伊藤修司,14
12,4,8,ハツシバオー,牡5,,岡部幸雄,02:37.3,ハナ,,,高橋英夫,13
13,5,9,インターグシケン,牡5,,柴田政人,02:37.6,1 3/4,,,久保田金造,5
14,7,14,カシュウチカラ,牡7,,郷原洋行,02:37.6,クビ,,,矢倉玉男,12
15,1,1,ボールドエーカン,牡4,,村本善之,02:38.2,3 1/2,,,内藤繁春,16
中止,8,16,ビンゴガルー,牡4,,中野栄治,,,,,久保田彦之,3
