着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,8,15,イナリワン,牡6,,柴田政人,02:31.7,レコード,,,鈴木清,4
2,3,4,スーパークリーク,牡5,,武豊,02:31.7,ハナ,,,伊藤修司,2
3,7,12,サクラホクトオー,牡4,,小島太,02:32.1,2 1/2,,,境勝太郎,3
4,6,9,ランニングフリー,牡7,,菅原泰夫,02:32.3,1 1/4,,,本郷一彦,9
5,1,1,オグリキャップ,牡5,,南井克巳,02:32.5,1    ,,,瀬戸口勉,1
6,8,14,ヤエノムテキ,牡5,,西浦勝一,02:33.0,3    ,,,荻野光男,8
7,7,11,フレッシュボイス,牡7,,郷原洋行,02:33.1, 1/2,,,境直行,11
8,8,16,スルーオダイナ,牡6,,岡部幸雄,02:33.2,クビ,,,矢野進,10
9,4,5,キリパワー,牡5,,大塚栄三郎,02:33.4,1 1/2,,,清水利章,12
10,5,8,カシマウイング,牡7,,東信二,02:33.6,1 1/4,,,飯塚好次,16
11,2,3,ダイナカーペンター,牡6,,増沢末夫,02:33.7, 3/4,,,増本豊,5
12,6,10,ハワイアンコーラル,牡5,,大崎昭一,02:34.0,2    ,,,中村広,15
13,7,13,ミスターシクレノン,牡5,,松永幹夫,02:34.1,クビ,,,小林稔,6
14,4,6,ドクタースパート,牡4,,的場均,02:34.4,2    ,,,柄崎孝,13
15,2,2,ミスターブランディ,牡8,,津留千彰,02:34.4,ハナ,,,大和田稔,14
16,5,7,リアルバースデー,牡4,,河内洋,02:34.5, 3/4,,,佐藤林次郎,7
